ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Blessed John XXIII National Seminary","Weston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Blessing-Rieman College of Nursing","Quincy","Ill.","09/30/14","2.8","Private not-for-profit, 4-year or above"
"Bloomfield College","Bloomfield","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Blue Cliff College at Metairie","Metairie","La.","12/31/14","0.2","Private for-profit, 2-year"
"Blue Mountain College","Blue Mountain","Miss.","06/30/15","3","Private not-for-profit, 4-year or above"
"Bluefield College","Bluefield","Va.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Bluffton U.","Bluffton","Ohio","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Bob Jones U.","Greenville","S.C.","05/31/15","2.8","Private for-profit, 4-year or above"
"Boise Bible College","Boise","Idaho","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Bon Secours Memorial College of Nursing","Richmond","Va.","08/31/14","2.7","Private not-for-profit, 4-year or above"
"Boricua College","New York","N.Y.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Boston Architectural College","Boston","Mass.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Boston Baptist College","Boston","Mass.","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Boston College","Chestnut Hill","Mass.","05/31/15","3","Private not-for-profit, 4-year or above"
"Boston Conservatory","Boston","Mass.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Boston Graduate School of Psychoanalysis","Brookline","Mass.","07/31/14","2.2","Private not-for-profit, 4-year or above"
"Boston U.","Boston","Mass.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Bowdoin College","Brunswick","Maine","06/30/15","3","Private not-for-profit, 4-year or above"
"Bradley U.","Peoria","Ill.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Brandeis U.","Waltham","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Brenau U.","Gainesville","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Brensten Education","Waukesha","Wis.","12/31/14","1.8","Private for-profit, 2-year"
"Brescia U.","Owensboro","Ky.","05/31/15","3","Private not-for-profit, 4-year or above"
"Brevard College","Brevard","N.C.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Brewton-Parker College","Mount Vernon","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Briar Cliff U.","Sioux City","Iowa","05/31/15","3","Private not-for-profit, 4-year or above"
"Bridgewater College","Bridgewater","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Brigham Young U.","Provo","Utah","12/31/14","3","Private not-for-profit, 4-year or above"
"Brigham Young U. Hawaii","Laie","Hawaii","12/31/14","2.2","Private not-for-profit, 4-year or above"
"Brigham Young U.-Idaho","Rexburg","Idaho","12/31/14","3","Private not-for-profit, 4-year or above"
"Broadview U. at West Jordan (Utah)","West Jordan","Utah","03/31/15","1.7","Private for-profit, 4-year or above"
"Brookline College at Phoenix","Phoenix","Ariz.","12/31/14","1.5","Private for-profit, 4-year or above"
"Brooklyn Law School","Brooklyn","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Brooks Institute","Ventura","Calif.","06/30/15","3","Private for-profit, 4-year or above"
"Brown U.","Providence","R.I.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Bryan College (Tenn.)","Dayton","Tenn.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Bryan College of Health Sciences","Lincoln","Nebr.","12/31/14","3","Private not-for-profit, 4-year or above"
"Bryan U. at Los Angeles","Los Angeles","Calif.","12/31/14","1.7","Private for-profit, 4-year or above"
"Bryant & Stratton College at Buffalo","Buffalo","N.Y.","12/31/14","1.8","Private for-profit, 4-year or above"
"Bryant U.","Smithfield","R.I.","06/30/15","3","Private not-for-profit, 4-year or above"
"Bryn Athyn College of the New Church","Bryn Athyn","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Bryn Mawr College","Bryn Mawr","Pa.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Bucknell U.","Lewisburg","Pa.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Bucks County School of Beauty Culture","Feasterville","Pa.","12/31/14","2.7","Private for-profit, 2-year"
"Buena Vista U.","Storm Lake","Iowa","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Burnett International College","Boynton Beach","Fla.","12/31/14","1.7","Private for-profit, 2-year"
"Business Informatics Center","Valley Stream","N.Y.","12/31/14","1.8","Private for-profit, 2-year"
"Butler U.","Indianapolis","Ind.","05/31/15","3","Private not-for-profit, 4-year or above"
"Byzantine Catholic Seminary of Saints Cyril and Methodius","Pittsburgh","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Cabarrus College of Health Sciences","Concord","N.C.","12/31/14","3","Private not-for-profit, 4-year or above"
"Cabrini U.","Radnor","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Cairn U.","Langhorne","Pa.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Caldwell College","Caldwell","N.J.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"California Baptist U.","Riverside","Calif.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"California Career College","Canoga Park","Calif.","12/31/14","2.2","Private for-profit, 2-year"
"California Christian College","Fresno","Calif.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"California College of the Arts","San Francisco","Calif.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"California Institute of Integral Studies","San Francisco","Calif.","06/30/15","2","Private not-for-profit, 4-year or above"
"California Institute of Technology","Pasadena","Calif.","09/30/14","2.8","Private not-for-profit, 4-year or above"
"California Institute of the Arts","Valencia","Calif.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"California Lutheran U.","Thousand Oaks","Calif.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"California Miramar U.","San Diego","Calif.","12/31/14","2","Private for-profit, 4-year or above"
"California U. of Management and Sciences","Anaheim","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"California Western School of Law","San Diego","Calif.","07/31/14","2.5","Private not-for-profit, 4-year or above"
"Calumet College of Saint Joseph","Whiting","Ind.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Calvary Bible College and Theological Seminary","Kansas City","Mo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Calvin College","Grand Rapids","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Calvin Theological Seminary","Grand Rapids","Mich.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Cambria-Rowe Business College at Johnstown","Johnstown","Pa.","12/31/14","1.5","Private for-profit, 2-year"
"Cambridge College","Cambridge","Mass.","08/31/14","2.2","Private not-for-profit, 4-year or above"
"Cambridge Junior College","Yuba City","Calif.","12/31/14","2.2","Private for-profit, 2-year"
"Cameron College","New Orleans","La.","12/31/14","2.2","Private for-profit, 2-year"
"Campbell U.","Buies Creek","N.C.","05/31/15","3","Private not-for-profit, 4-year or above"
"Campbellsville U.","Campbellsville","Ky.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Canisius College","Buffalo","N.Y.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Capella U.","Minneapolis","Minn.","12/31/14","3","Private for-profit, 4-year or above"
"Capital U.","Columbus","Ohio","06/30/15","2.3","Private not-for-profit, 4-year or above"
