ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Sanford-Brown Instituteat Pittsburgh","Pittsburgh","Pa.","12/31/14","-1","Private for-profit, 2-year"
"Santa Barbara Business College at Ventura (Calif.)","Ventura","Calif.","06/30/15","1.8","Private for-profit, 4-year or above"
"Santa Clara U.","Santa Clara","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Santa Fe U. of Art and Design","Santa Fe","N.M.","12/31/14","1.2","Private for-profit, 4-year or above"
"Sarah Lawrence College","Bronxville","N.Y.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Savannah College of Art and Design","Savannah","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Saybrook U.","Oakland","Calif.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Schiller International U.","Largo","Fla.","12/31/14","1.7","Private for-profit, 4-year or above"
"School of Advertising Art","Kettering","Ohio","12/31/14","1.5","Private for-profit, 2-year"
"School of Automotive Machinists","Houston","Tex.","12/31/14","1.5","Private for-profit, 2-year"
"School of Professional Psychology at Forest Institute","Springfield","Mo.","09/30/14","3","Private not-for-profit, 4-year or above"
"School of the Art Institute of Chicago","Chicago","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"School of the Museum of Fine Arts at Boston","Boston","Mass.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"School of Visual Arts","New York","N.Y.","06/30/15","2.1","Private for-profit, 4-year or above"
"Schreiner U.","Kerrville","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Scripps College","Claremont","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Seattle Institute of Oriental Medicine","Seattle","Wash.","12/31/14","2.5","Private for-profit, 4-year or above"
"Seattle Pacific U.","Seattle","Wash.","06/30/15","3","Private not-for-profit, 4-year or above"
"Seattle School of Theology & Psychology","Seattle","Wash.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Seattle U.","Seattle","Wash.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Selma U.","Selma","Ala.","07/31/14","1.9","Private not-for-profit, 4-year or above"
"Sentara College of Health Sciences","Chesapeake","Va.","12/31/14","3","Private not-for-profit, 4-year or above"
"Sessions College for Professional Design","Tempe","Ariz.","03/31/15","2.5","Private for-profit, 2-year"
"Seton Hall U.","South Orange","N.J.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Seton Hill U.","Greensburg","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Sewanee: The U. of the South","Sewanee","Tenn.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Sh'or Yoshuv Rabbinical College","Lawrence","N.Y.","08/31/14","2.3","Private not-for-profit, 4-year or above"
"Shasta Bible College and Graduate School","Redding","Calif.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Shaw U.","Raleigh","N.C.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Shenandoah U.","Winchester","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Shepherds Theological Seminary","Cary","N.C.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Sherman College of Chiropractic","Spartanburg","S.C.","12/31/14","3","Private not-for-profit, 4-year or above"
"Shorter College","North Little Rock","Ark.","06/30/15","1.9","Private not-for-profit, 2-year"
"Shorter U.","Rome","Ga.","05/31/15","1.3","Private not-for-profit, 4-year or above"
"Siena College","Loudonville","N.Y.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Siena Heights U.","Adrian","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Sierra Nevada College","Incline Village","Nev.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Silver Lake College of the Holy Family","Manitowoc","Wis.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Simmons College","Boston","Mass.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Simmons College of Kentucky","Louisville","Ky.","06/30/15","3","Private not-for-profit, 4-year or above"
"Simpson College (Iowa)","Indianola","Iowa","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Simpson U. (Calif.)","Redding","Calif.","04/30/15","1.9","Private not-for-profit, 4-year or above"
"Sioux Falls Seminary","Sioux Falls","S.D.","06/30/15","0.8","Private not-for-profit, 4-year or above"
"SIT Graduate Institute","Brattleboro","Vt.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Skidmore College","Saratoga Springs","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"Smith College","Northampton","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Sofia U.","Palo Alto","Calif.","06/30/15","1.8","Private for-profit, 4-year or above"
"Soka U. of America","Aliso Viejo","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Solex College","Wheeling","Ill.","12/31/14","2.1","Private for-profit, 2-year"
"Sotheby's Institute of Art (N.Y.)","New York","N.Y.","08/31/14","-1","Private for-profit, 4-year or above"
"South Baylo U.","Anaheim","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"South Coast College","Orange","Calif.","06/30/15","2.2","Private for-profit, 2-year"
"South College (N.C.)","Asheville","N.C.","10/31/14","1.9","Private for-profit, 4-year or above"
"South College (Tenn.)","Knoxville","Tenn.","09/30/14","2","Private for-profit, 4-year or above"
"South Florida Bible College","Deerfield Beach","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"South Hills School of Business and Technology","State College","Pa.","12/31/14","3","Private for-profit, 2-year"
"South Texas College of Law Houston","Houston","Tex.","08/31/14","3","Private not-for-profit, 4-year or above"
"Southeast Missouri Hospital College of Nursing and Health Sciences","Cape Girardeau","Mo.","12/31/14","1.5","Private not-for-profit, 2-year"
"Southeastern Baptist College","Laurel","Miss.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Southeastern Baptist Theological Seminary","Wake Forest","N.C.","07/31/14","2.6","Private not-for-profit, 4-year or above"
"Southeastern Bible College","Birmingham","Ala.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Southeastern College at Greenacres","West Palm Beach","Fla.","12/31/14","-0.9","Private for-profit, 2-year"
"Southeastern U. (Fla.)","Lakeland","Fla.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Southern Adventist U.","Collegedale","Tenn.","05/31/15","3","Private not-for-profit, 4-year or above"
"Southern California Institute of Architecture","Los Angeles","Calif.","08/31/14","3","Private not-for-profit, 4-year or above"
"Southern California Institute of Technology","Anaheim","Calif.","12/31/14","2.9","Private for-profit, 4-year or above"
"Southern California Seminary","El Cajon","Calif.","08/31/14","1.6","Private not-for-profit, 4-year or above"
"Southern California U. of Health Sciences","Whittier","Calif.","08/31/14","3","Private not-for-profit, 4-year or above"
"Southern California U. School of Oriental Medicine and Acupuncture","Los Angeles","Calif.","12/31/14","2.8","Private for-profit, 4-year or above"
"Southern College of Optometry","Memphis","Tenn.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Southern Methodist U.","Dallas","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Southern Nazarene U.","Bethany","Okla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Southern New Hampshire U.","Manchester","N.H.","06/30/15","3","Private not-for-profit, 4-year or above"
"Southern Technical College at Orlando","Orlando","Fla.","12/31/14","-0.2","Private for-profit, 2-year"
"Southern Vermont College","Bennington","Vt.","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Southern Virginia U.","Buena Vista","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Southern Wesleyan U.","Central","S.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Southside Regional Medical Center Professional Schools","Colonial Heights","Va.","12/31/14","-1","Private for-profit, 2-year"
"Southwest Acupuncture College at Santa Fe","Santa Fe","N.M.","12/31/14","1.5","Private for-profit, 4-year or above"
"Southwest Baptist U.","Bolivar","Mo.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Southwest College of Naturopathic Medicine & Health Sciences","Tempe","Ariz.","09/30/14","2.6","Private not-for-profit, 4-year or above"
"Southwest Florida College","Fort Myers","Fla.","12/31/14","-0.2","Private for-profit, 4-year or above"
"Southwest Institute of Healing Arts","Tempe","Ariz.","12/31/14","2.6","Private for-profit, 2-year"
"Southwest U. at El Paso","El Paso","Tex.","12/31/14","2.2","Private for-profit, 4-year or above"
"Southwest U. of Visual Arts at Tucson","Tucson","Ariz.","12/31/14","2.6","Private for-profit, 4-year or above"
"Southwestern Adventist U.","Keene","Tex.","06/30/15","3","Private not-for-profit, 4-year or above"
"Southwestern Assemblies of God U.","Waxahachie","Tex.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"Southwestern Christian College","Terrell","Tex.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Southwestern Christian U.","Bethany","Okla.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Southwestern College (Kan.)","Winfield","Kans.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Southwestern College (N.M.)","Santa Fe","N.M.","08/31/14","3","Private not-for-profit, 4-year or above"
"Southwestern Law School","Los Angeles","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Southwestern U. (Tex.)","Georgetown","Tex.","06/30/15","3","Private not-for-profit, 4-year or above"
"Spalding U.","Louisville","Ky.","06/30/15","3","Private not-for-profit, 4-year or above"
"Spartan College of Aeronautics and Technology","Tulsa","Okla.","12/31/14","-1","Private for-profit, 4-year or above"
"Spartanburg Methodist College","Spartanburg","S.C.","06/30/15","3","Private not-for-profit, 2-year"
"Spelman College","Atlanta","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Spencerian College at Louisville (Ky.)","Louisville","Ky.","05/31/15","2.1","Private for-profit, 4-year or above"
"Spertus College","Chicago","Ill.","06/30/15","0.7","Private not-for-profit, 4-year or above"
"Spring Arbor U.","Spring Arbor","Mich.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Spring Hill College","Mobile","Ala.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Springfield College (Mass.)","Springfield","Mass.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"St. Ambrose U.","Davenport","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"St. Augustine College (Ill.)","Chicago","Ill.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"St. Augustine's U. (N.C.)","Raleigh","N.C.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"St. Bonaventure U.","St. Bonaventure","N.Y.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"St. Catherine U.","Saint Paul","Minn.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"St. Edward's U.","Austin","Tex.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"St. Elizabeth Medical Center School of Radiography","Utica","N.Y.","12/31/14","-0.5","Private not-for-profit, 2-year"
"St. Francis College (N.Y.)","Brooklyn Heights","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"St. John Fisher College","Rochester","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"St. John Vianney College Seminary","Miami","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"St. John's College (Ill.)","Springfield","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"St. John's College (Md.)","Annapolis","Md.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"St. John's College (N.M.)","Santa Fe","N.M.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"St. John's U. (N.Y.)","Jamaica","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"St. Joseph School of Nursing (N.H.)","Nashua","N.H.","12/31/14","2.6","Private not-for-profit, 2-year"
"St. Joseph's College of Nursing (N.Y.)","Syracuse","N.Y.","12/31/14","1.8","Private not-for-profit, 2-year"
"St. Lawrence U.","Canton","N.Y.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"St. Louis College of Pharmacy","Saint Louis","Mo.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"St. Mary's U.","San Antonio","Tex.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"St. Olaf College","Northfield","Minn.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"St. Thomas Aquinas College","Sparkill","N.Y.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"St. Thomas U.","Miami Gardens","Fla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"St. Vincent De Paul Regional Seminary","Boynton Beach","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"St. Vincent's College","Bridgeport","Conn.","09/30/14","3","Private not-for-profit, 4-year or above"
"Stanbridge College","Irvine","Calif.","12/31/14","2.7","Private for-profit, 4-year or above"
"Standard Healthcare Services College of Nursing","Falls Church","Va.","12/31/14","2.7","Private for-profit, 2-year"
"Stanford U.","Stanford","Calif.","08/31/14","3","Private not-for-profit, 4-year or above"
"Starr King School for the Ministry","Berkeley","Calif.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Stautzenberger College at Maumee (Ohio)","Maumee","Ohio","12/31/14","1.9","Private for-profit, 2-year"
"Stephens College","Columbia","Mo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Sterling College (Kan.)","Sterling","Kans.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Sterling College (Vt.)","Craftsbury Common","Vt.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Stetson U.","DeLand","Fla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Stevens Institute of Business & Arts","St Louis","Mo.","06/30/15","2.3","Private for-profit, 4-year or above"
"Stevens Institute of Technology","Hoboken","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Stevenson U.","Stevenson","Md.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Stillman College","Tuscaloosa","Ala.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Stonehill College","Easton","Mass.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Stratford U.","Falls Church","Va.","12/31/14","0.5","Private for-profit, 4-year or above"
"Strayer U. at Washington, D.C.","Washington","D.C.","12/31/14","3","Private for-profit, 4-year or above"
"Suffolk U.","Boston","Mass.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"SUM Bible College and Theological Seminary","Oakland","Calif.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Sumner College","Portland","Ore.","12/31/14","3","Private for-profit, 2-year"
"Susquehanna U.","Selinsgrove","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Swarthmore College","Swarthmore","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Swedish Institute-College of Health Sciences","New York","N.Y.","12/31/14","1.4","Private for-profit, 2-year"
"Sweet Briar College","Sweet Briar","Va.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Syracuse U.","Syracuse","N.Y.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Tabor College","Hillsboro","Kans.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Taft U. system","Glendale","Colo.","12/31/14","2.7","Private for-profit, 4-year or above"
"Tai Sophia Institute","Laurel","Md.","07/31/14","-0.3","Private not-for-profit, 4-year or above"
"Talladega College","Talladega","Ala.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Talmudic College of Florida","Miami Beach","Fla.","07/31/14","2.7","Private not-for-profit, 4-year or above"
"Talmudical Academy of New Jersey","Adelphia","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Talmudical Institute of Upstate New York","Rochester","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Talmudical Seminary of Bobov","Brooklyn","N.Y.","03/31/15","2.2","Private not-for-profit, 4-year or above"
"Talmudical Seminary Oholei Torah","Brooklyn","N.Y.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Talmudical Yeshiva of Philadelphia","Philadelphia","Pa.","07/31/14","3","Private not-for-profit, 4-year or above"
"Taylor Business Institute (Ill.)","Chicago","Ill.","12/31/14","-1","Private for-profit, 2-year"
"Taylor College (Fla.)","Belleview","Fla.","12/31/14","1.1","Private for-profit, 2-year"
"Taylor U.","Upland","Ind.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"Teachers College, Columbia U.","New York","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"Technical Career Institutes","New York","N.Y.","12/31/14","1.1","Private for-profit, 2-year"
"Telshe Yeshiva at Chicago","Chicago","Ill.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Temple Baptist College","Cincinnati","Ohio","08/31/14","1.2","Private not-for-profit, 4-year or above"
"Temple U.","Philadelphia","Pa.","06/30/15","2.6","Public, 4-year or above"
"Tennessee Temple U.","Chattanooga","Tenn.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Tennessee Wesleyan College","Athens","Tenn.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Texas Chiropractic College","Pasadena","Tex.","08/31/14","2.3","Private not-for-profit, 4-year or above"
"Texas Christian U.","Fort Worth","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Texas College","Tyler","Tex.","06/30/15","3","Private not-for-profit, 4-year or above"
"Texas County Technical Institute (Mo.)","Houston","Mo.","06/30/15","2.3","Private not-for-profit, 2-year"
"Texas Health and Science U.","Austin","Tex.","12/31/14","2.3","Private for-profit, 4-year or above"
"Texas Lutheran U.","Seguin","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Texas Wesleyan U.","Fort Worth","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Theological U. of the Caribbean","St Just,Trujillo Alto","P.R.","07/31/14","2","Private not-for-profit, 4-year or above"
"Thiel College","Greenville","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Thomas Aquinas College","Santa Paula","Calif.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Thomas College (Me.)","Waterville","Maine","06/30/15","3","Private not-for-profit, 4-year or above"
"Thomas Jefferson School of Law","San Diego","Calif.","06/30/15","-0.2","Private not-for-profit, 4-year or above"
"Thomas Jefferson U.","Philadelphia","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Thomas M. Cooley Law School","Lansing","Mich.","08/31/14","2.2","Private not-for-profit, 4-year or above"
"Thomas More College","Crestview Hills","Ky.","05/31/15","1.6","Private not-for-profit, 4-year or above"
"Thomas U.","Thomasville","Ga.","05/31/15","3","Private not-for-profit, 4-year or above"
"Tiffin U.","Tiffin","Ohio","04/30/15","3","Private not-for-profit, 4-year or above"
"Toccoa Falls College","Toccoa Falls","Ga.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Torah Temimah Talmudical Seminary","Brooklyn","N.Y.","08/31/14","2.6","Private not-for-profit, 4-year or above"
"Tougaloo College","Tougaloo","Miss.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Touro College (N.Y.)","New York","N.Y.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Transylvania U.","Lexington","Ky.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Trevecca Nazarene U.","Nashville","Tenn.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Tri-State Bible College","South Point","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Tri-State College of Acupuncture","New York","N.Y.","06/30/15","0.4","Private for-profit, 4-year or above"
"Triangle Tech at Pittsburgh","Pittsburgh","Pa.","09/30/14","2.7","Private for-profit, 2-year"
"Tribeca Flashpoint Media Arts Academy","Chicago","Ill.","06/30/15","-1","Private for-profit, 4-year or above"
"Trident U. International","Cypress","Calif.","06/30/15","-1","Private for-profit, 4-year or above"
"Trine U.","Angola","Ind.","04/30/15","3","Private not-for-profit, 4-year or above"
"Trinity Baptist College","Jacksonville","Fla.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Trinity Bible College","Ellendale","N.D.","06/30/15","3","Private not-for-profit, 4-year or above"
"Trinity Christian College","Palos Heights","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Trinity College (Conn.)","Hartford","Conn.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Trinity College of Florida","Trinity","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Trinity College of Puerto Rico","Ponce","P.R.","06/30/15","1.7","Private not-for-profit, 2-year"
"Trinity Episcopal School for Ministry","Ambridge","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Trinity International U.","Deerfield","Ill.","04/30/15","2.5","Private not-for-profit, 4-year or above"
"Trinity Lutheran College","Everett","Wash.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Trinity Lutheran Seminary","Columbus","Ohio","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Trinity U.","San Antonio","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Trinity Washington U.","Washington","D.C.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Trocaire College","Buffalo","N.Y.","05/31/15","3","Private not-for-profit, 4-year or above"
"Truett McConnell College","Cleveland","Ga.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Trumbull Business College","Warren","Ohio","12/31/14","2.6","Private for-profit, 2-year"
"Tufts U.","Medford","Mass.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Tulane U.","New Orleans","La.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Tulsa Welding School","Tulsa","Okla.","09/30/14","1.8","Private for-profit, 2-year"
"Turtle Mountain Community College","Belcourt","N.D.","06/30/15","3","Private not-for-profit, 4-year or above"
"Tusculum College","Greeneville","Tenn.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Tuskegee U.","Tuskegee Institute","Ala.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"U. of Advancing Technology","Tempe","Ariz.","12/31/14","2","Private for-profit, 4-year or above"
"U. of Antelope Valley","Lancaster","Calif.","12/31/14","1.5","Private for-profit, 4-year or above"
"U. of Bridgeport","Bridgeport","Conn.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"U. of Charleston","Charleston","W.Va.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"U. of Chicago","Chicago","Ill.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"U. of Dallas","Irving","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of Dayton","Dayton","Ohio","06/30/15","2.9","Private not-for-profit, 4-year or above"
"U. of Denver","Denver","Colo.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Detroit Mercy","Detroit","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Dubuque","Dubuque","Iowa","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of East-West Medicine","Sunnyvale","Calif.","12/31/14","0.9","Private for-profit, 4-year or above"
"U. of Evansville","Evansville","Ind.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"U. of Findlay (Ohio)","Findlay","Ohio","07/31/14","2.8","Private not-for-profit, 4-year or above"
"U. of Fort Lauderdale","Lauderhill","Fla.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"U. of Great Falls","Great Falls","Mont.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"U. of Hartford","West Hartford","Conn.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"U. of Indianapolis","Indianapolis","Ind.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"U. of Jamestown","Jamestown","N.D.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"U. of La Verne","La Verne","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Management and Technology","Arlington","Va.","12/31/14","3","Private for-profit, 4-year or above"
"U. of Mary","Bismarck","N.D.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"U. of Mary Hardin-Baylor","Belton","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of Miami","Coral Gables","Fla.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"U. of Mobile","Mobile","Ala.","06/30/15","1.2","Private not-for-profit, 4-year or above"
"U. of Mount Union","Alliance","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of New England","Biddeford","Maine","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of New Haven","West Haven","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Northwestern at St. Paul (Minn.)","Saint Paul","Minn.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Northwestern Ohio","Lima","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Notre Dame","Notre Dame","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Pennsylvania","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Phoenix at Phoenix (Ariz.)","Tempe","Ariz.","08/31/14","2.5","Private for-profit, 4-year or above"
"U. of Pikeville","Pikeville","Ky.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"U. of Portland","Portland","Ore.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Puget Sound","Tacoma","Wash.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"U. of Redlands","Redlands","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Richmond","Richmond","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Rochester","Rochester","N.Y.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"U. of Saint Francis (Ind.)","Fort Wayne","Ind.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"U. of Saint Joseph","West Hartford","Conn.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"U. of Saint Mary","Leavenworth","Kans.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Saint Mary of the Lake-Mundelein Seminary","Mundelein","Ill.","06/30/15","-0.8","Private not-for-profit, 4-year or above"
"U. of Saint Thomas (Minn.)","St Paul","Minn.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of San Diego","San Diego","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of San Francisco","San Francisco","Calif.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of Scranton","Scranton","Pa.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of Sioux Falls","Sioux Falls","S.D.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"U. of Southern California","Los Angeles","Calif.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"U. of Southern Nevada","Henderson","Nev.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"U. of St. Augustine for Health Sciences","San Marcos","Calif.","12/31/14","2.4","Private for-profit, 4-year or above"
"U. of St. Francis (Ill.)","Joliet","Ill.","05/31/15","2.8","Private not-for-profit, 4-year or above"
"U. of St. Thomas (Tex.)","Houston","Tex.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"U. of Tampa","Tampa","Fla.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of the Arts","Philadelphia","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"U. of the Cumberlands","Williamsburg","Ky.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of the Incarnate Word","San Antonio","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of the Ozarks","Clarksville","Ark.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"U. of the Pacific","Stockton","Calif.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"U. of the Potomac (D.C.)","Washington","D.C.","12/31/14","1.5","Private for-profit, 4-year or above"
"U. of the Sacred Heart","San Juan","P.R.","06/30/15","2","Private not-for-profit, 4-year or above"
"U. of the Sciences in Philadelphia","Philadelphia","Pa.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"U. of the Southwest","Hobbs","N.M.","05/31/15","3","Private not-for-profit, 4-year or above"
"U. of the West","Rosemead","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"U. of Tulsa","Tulsa","Okla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"U. of Western States","Portland","Ore.","06/30/15","2.7","Private not-for-profit, 4-year or above"
